,content,sentiment
145,@PearseDoherty @harrymcgee @IrishTimes That might sting for a bit lads but you'll get over it.     #betterwithsinnfein,anger
146,No offense but to the ppl out there using creams to build your glutes...COME ON. Go squat and what not.,anger
147,This is a joke @SomersetCCC #fuming,anger
148,This is a joke @SomersetCCC ,anger
149,"@UMA1R_ @bilalmahmooduk @Muslim_Scientst i do not offend your Faith unless 1 persecutes me, treat me like a dog, disrespect me and even so",anger
150,The patriots have the lamest color rush jerseys in the whole nfl #madden (I hope they wear them tonight),anger
151,no offense but could troye start dming people so i can feel like less of an idiot when i dm him thanks,anger
152,"ForgivenessÂ might make us look weak, but the weakest person is the one who holds anger, hatred, and revenge.",anger
153,Instagram seriously sort your sh*t out. I spent ages writing that caption for you to delete it and not post it!! #fume #instagram,anger
154,Instagram seriously sort your sh*t out. I spent ages writing that caption for you to delete it and not post it!!  #instagram,anger
155,Trump supports reach another level of irritation within me,anger
156,People you need to look up the definition of protest. What you are doing is not protesting is called vandalism. #angry #stop,anger
157,People you need to look up the definition of protest. What you are doing is not protesting is called vandalism.  #stop,anger
158,RE: #politicallycorrect #BS   What if I am #offended by your assumption the USA should change because you are a 'visitor' &amp; don't like it?,anger
159,@NJDDanin123 I personally liked #relentless â€¦didn't get #OurHouse #OneJersey #werealldevilsinside \nDoes nothing till a puck drops #NJDevils,anger
160,@Who_JN I've been having a quad shot every day and can sleep right after... it's time to detox ðŸ˜… I get raging migraines without coffee :/,anger
161,@THATSSHAWTYLO passed away early this morning in a fast and furious styled car crash as he was leaving an ATL strip club. That's rough stuff,anger
162,@inthefade going back to blissful ignorance?! #fury,anger
163,@inthefade going back to blissful ignorance?! ,anger
164,@MarianKeyes the pout tips me over the edge. I am most definitely AGIN. Who the feic bakes with full make up and boots with heels!!!!,anger
165,ethan was with someone in the car when he did his revenge on grayson,anger
166,@jonfavs Don King is an insult to the intelligence of the Black Community.  What are these people thinking?,anger
167,@zavierdaniels had to snap going crazy ðŸ˜­ðŸ˜­,anger
168,Got a $20 tip from a drunk Uber passenger. Today I get a $25 parking ticket. I'd blame karma but my dumb ass forgot to pay the meter. ,anger
169,Got a $20 tip from a drunk Uber passenger. Today I get a $25 parking ticket. I'd blame karma but my dumb ass forgot to pay the meter. #rage,anger
170,If I do my homework now I can watch revenge and possibly go out tonight'\n*plays on phone for 2 hours to avoid doing homework,anger
171,@MegMuphet I wasn't meaning to offend you. I was saying from personal experience. Kids got placed into these classes and they take advantage,anger
172,@SINice Damn..  Lol..  Maybe it is for the best though..  Her brother might still be lookin for revenge ðŸ˜‚,anger
173,@Red_Magpie @ali_faceache1 @joanna_caron @KCBFD @xMATTxLAWx he's not exactly a rabid tub thumper compared to McTernan now is he.,anger
174,Dear hipster behind me at the game I am finding it very hard to pay attention while you talk about the politics of grapes of wrath. SHUT UP!,anger
175,JV girls earn the W vs Stonington 2-1 today. Goals by K Waite and S Winakor. @DeluciaAlexis 1 assist. @mhseccathletics ,anger
176,JV girls earn the W vs Stonington 2-1 today. Goals by K Waite and S Winakor. @DeluciaAlexis 1 assist. @mhseccathletics #relentless,anger
177,White people irritate me.,anger
178,"Y'all bitches be so angry and bitter, that must truly suck lol",anger
179,@daynutrition @sliqnicq @nytimes I don't listen to White Trash talk about blacks. It's insult. Talk about your race living in trailers,anger
180,We're going to get City in the next round for a revenge.,anger
181,Me: *sees incense burner* is this for drugs?,anger
182,"@daemondave @paulkrugman Hey stupid, that was bad intel to take Bin Laden out. Try again with your faux outrage. I bet u admire Putin right?",anger
183,@RobertB_Rice Awesome. Another non-native being offended on my behalf. We need more of you in the world. #SaidNoNDNEver. #Paternalism,anger
184,@JohnJHarwood @GWGMJ30 It's no secret: personal dislike of Trump &amp; animosity has always been present..now magnified with bigotry/racism etc.,anger
185,So then it's my turn. Soon as he says hi I just burst into tears lmaoo I was so overwhelmed.,anger
186,@Gielnorian @HedonismGaming cmode grimrail made me want to eat angry bees,anger
187,"And getting offended or furious that a writers style isn;t to your taste is ultimately daft, I suppose.",anger
188,When u are strong u offend the weak &amp; insecure. STAY STRONG. Joshua 1:6-9 #god #internationaldayofpeace #actorslife,anger
189,@o2academybham since when the fuck can you not stand at a concert? #raging,anger
190,@o2academybham since when the fuck can you not stand at a concert? ,anger
191,My irritation level is at an all time high today ðŸ™ƒ,anger
192,@jagtron1 blacks are good at provoke them selfs blaming on white when black cops shooting blacks,anger
193,@Piggiewhopays lmao! I can only imagine the frown across that face of yours. #Hilarity,anger
194,#ADP's #ezlabor web portal has to be THE SLOWEST web app I have ever had the displeasure of using!!,anger
195,We are raging angry.=1/2 bil $ for 2 pro Liars.(Actors) the most useless people in america Where is ours for working 100 X harder? @FoxNews,anger
196,@DatGuydARK I wouldn't fret. There's too many opportunities in life to worry about one not working out.,anger
197,@alour @jkramon1313 you should force your neighbours to pay that!  Those people have some nerve!!!  #outrage #Victim,anger
198,@clppng #offended the tonys have found a way to leave me out and now y'all have too,anger
199,Here's a tip for everyone: Stop being offended. End.  #quit #youredumb #liveyourownlife,anger
200,Here's a tip for everyone: Stop being offended. End. #offended #quit #youredumb #liveyourownlife,anger
201,These NA kids are relentless,anger
202,Finally uploaded the file I needed to the university server's drop box. It took like half an hour and a lot of cursing and anger on my part,anger
203,"@MagicAndFangs 'Just by getting lost! I don't want to see you in my eyes!' Hungary huffed and crossed her arms, looking away angrily.",anger
204,"Pro Tip: Go back to work when your kid reaches 20 mos old.  Stay home any longer, and you'll be absolutely miserable with the #tantrums.",anger
205,"Pro Tip: Go back to work when your kid reaches 20 mos old.  Stay home any longer, and you'll be absolutely miserable with the .",anger
206,Me and these burns that I pick up off the pitches don't get on at all like ðŸ˜¢ðŸ˜¢ #sting,anger
207,Me and these burns that I pick up off the pitches don't get on at all like ðŸ˜¢ðŸ˜¢ ,anger
208,Imagine being bitter when your bias is dating &amp; sending threats to their partner. Like why? That's nasty. And they don't even know you exist,anger
209,Every dancers dream song #snap #worldpower,anger
210,Every dancers dream song  #worldpower,anger
211,@kjwinston11 2.  the N-word. But I think all Afr-Am are entitled to it: we shouldn't take away from them the insult they have claimed back.,anger
212,Having one of those #angry days. I will have to stop watching #news.,anger
213,@laureeenwillam can't cope wi her sour face and tiny pout ðŸ˜¡ðŸ˜¡,anger
214,Karev better not be out!!! Or I am seriously done DONE with @GreysABC  #angry #unfair #ugh,anger
215,"@FoxNews #Poor = #angry and justly so. Offer people some hope! My god, does anyone see this?! #Education should not be for the #elite",anger
216,Howard Webb always held up as knowing the answers. No red. Sutton and Craigan raging! Hahaha,anger
217,ICQ is just making me mad!!!ðŸ˜¤ #icq #angry,anger
218,ICQ is just making me mad!!!ðŸ˜¤ #icq ,anger
219,Ppl like that irritate my soul,anger
220,Why is it always me picking up the pieces :/ #angry,anger
221,Why is it always me picking up the pieces :/ ,anger
222,"I've learned to let go of resentment for people who have hurt me, because keeping it is like swallowing poison and expecting them to die.",anger
223,Pride and Prejudice is a modern day Keeping up with the Kardashians' - @howsyourdaybin .............I've never been so offended in my life,anger
224,The outrage over Kessel's tweet by butthurt USA players is hilarious.,anger
225,@CallumPinner you came in at silly o'clock and woke me up that's what happened #wasted #fuming,anger
226,@CallumPinner you came in at silly o'clock and woke me up that's what happened #wasted ,anger
227,@missblair140 AWH tiff you're such a great friend I love you :(( thank you,anger
228,Oh man it's been so long since I've played #madden I am trash anymore.,anger
229,I only have to wave a fiery cross and we will f**kin' do this!,anger
230,"Thou wilt be as valiant as the wrathful dove, or most magnanimous mouse. William Shakesphere",anger
231,"@SwiftShimada SPARKLES, proud little huff. Still posing mind you.",anger
232,"No, nipples don't offend me lol. But it's sad to me to see women purposely flaunting/sexualizing their own bodies in a very immodest way.",anger
233,@thehill no wonder USA is going to shit with such outrage over a simple analogy.,anger
234,@fixindk @RevoltRazor @dragons1015 Guys don't use that type of language. Save it for raging...,anger
235,@Remedy0_ switch host no bullet rage.,anger
236,Thurston offers Gallen a â€˜peaceâ€™ of his mind: NORTH Queensland playmaker Johnathon Thurston insists he holds no grudge against Paul G...,anger
237,My back is starting to irritate me and it's barely 2:19 ðŸ˜“,anger
238,Manchester derby at home #revenge,anger
239,Manchester derby at home ,anger
240,Defination of a best friends..!!! \n\na person who opens his mouth just to #insult yu..!! :D :D :D,anger
241,Nothing more entertaining and frightening than a #bitter #alcoholic trying desperately to get your attention.....,anger
242,What a fucking muppet.  @jRwild1 #fuming #stalker.,anger
243,What a fucking muppet.  @jRwild1  #stalker.,anger
244,@TedLeitner @jesseagler You two are TEN TIMES more interesting than those particular afternoon goofballs (I could say worse). #umbrage,anger
245,@TedLeitner @jesseagler You two are TEN TIMES more interesting than those particular afternoon goofballs (I could say worse). ,anger
246,some of the casuals tweets that Vic has faved are making me gag #bitter,anger
247,some of the casuals tweets that Vic has faved are making me gag ,anger
248,@loueezecee I don't know how much more of that bloody pout I can take!!,anger
249,"Note to self ~ Stop laughing at things that offend you, it's ok to get mad at people \n #NoteToSelf  #mad #upset",anger
250,"@KatherineArabis Itâ€™s taken for granted, while the misogyny in the air is treated as normal â€” and any angry response to it as pathological.",anger
251,"@smendler (1) Watch out for memes &amp; statements designed to make you feel outrage, but that don't give you anything to *do* about situation",anger
252,"Do not be angry with God because you do not get what you want, for God gives most when you expect least.",anger
253,@downeysduckling nick fury,anger
254,@Susan_Wilde @oohincensed @TheCanarySays no! Kinda offended that you had to ask,anger
255,"Yeah I'm hot nigga, they say im burning uhhhhh",anger
256,@Jacqueline_69 haha! She did well today. I can't get beyond her pout annoying me I'm afraid.,anger
257,Yo gurls Dm for a tribute ðŸ˜œðŸ’¦ #snapme #dm #nudes #tribute #cumtribute #cock  #cum #swallow,anger
258,Yo gurls Dm for a tribute ðŸ˜œðŸ’¦ #snapme #dm #nudes #tribute #cumtribute #cock #snap #cum #swallow,anger
259,@noris_prosk8r2 (Maybe don't provoke him in the future if you do not want to run the risk of him punching your board.),anger
260,"@Digger_forum he's also mostly (except for the synthetic testosterone bits) male, you raging sexist!",anger
261,@UlsterWillFight @VanguardBears Looks like a rabid pack of inbreds.,anger
262,@douglas_nat @one11north I need it today! Do u know how many fuckin French plaits I had to do this morn with a stroppy 9 yr old! #rage,anger
263,@douglas_nat @one11north I need it today! Do u know how many fuckin French plaits I had to do this morn with a stroppy 9 yr old! ,anger
264,"2 biggest fears: incurable STD's and pregnancy...I mean, they're basically the same thing anyway #forlife #annoying #irritation #weirdsmells",anger
265,"2 biggest fears: incurable STD's and pregnancy...I mean, they're basically the same thing anyway #forlife #annoying  #weirdsmells",anger
266,"#CharlotteRiots #passion? or #anger act of violence.\nIf mourning for those who have past away, #stayhome  #whyout",anger
267,resentment is rlly my shit.,anger
268,i resent being tired and annoyed that the word Wiener is splashed across the news. this should be a slam-dunk for me,anger
269,@paulsherard @margarethaynie wow I just realized how much of a sexist pig I am! I am truly sorry to anyone I offended,anger
270,@tony_tr3 I'd say your outrage is the really FAUX outrage.,anger
271,I can already tell this programme is going to infuriate me #ExtremeWorld,anger
272,Height of irritation when a person makes a hilarious chusssss.... Plz die....ðŸ˜¬ðŸ˜¬,anger
273,13 hour @bus rides make me #angry #sorry,anger
274,13 hour @bus rides make me  #sorry,anger
275,jelly baby is my favourite insult,anger
276,"She began to squirm beneath @hcllbent, struggling to get out of his relentless grasp. When she realized that the attempt was useless,++",anger
277,@LoyalLadyMalfoy &lt;â€¢ change them himself. He follows behind with a scowl pinching his lips and takes the sheets to his room. 'So who is â€¢&gt;,anger
278,Forever raging ðŸ˜ðŸ˜‚ðŸ˜­,anger
279,"@rawhidevelvet No offense, but isn't it a little late to be getting a radio broadcast degree? Isn't that going to be over in a decade or 2?",anger
280,"@LuluLemonLime83 wow , your right they do need help,so what I'm getting from the Laureliver fandom and bitter comic fandom and",anger
281,"@broadly you should be criminalized for posting a pic of that brown frown.... Get a pic of some jack, or cookies, or diesel, Join up @CNN_Ai",anger
282,"@alliex both, scrap *ll the rage instead",anger
283,The ppl on here defending cops as they continue to kill innocent ppl or ppl who aren't innocent but clearly cooperate irritate tf outta me,anger
284,Living life so relentless,anger
285,You forever straight so fix that frown u goodðŸ˜‡ @amayyaaag__,anger
286,"smh customers getting angry at me bc i aint got no marlboro lights in the gas hut. i called them in 2 hours ago, fuck you.",anger
287,@alexis_maxwell #bitter hahaha just kidding. its crazy tho,anger
288,"A 28 yr old man threw a saucepan of boiling water at a garda, &amp; then hit the garda with the shaft of a brush...Letterkenny District Court.",anger
289,Way towards be prominent if your exasperate is peaked?: TGMbNqUEe,anger
290,"Being abroad is causing me to make spontaneous decisions and not worry about things which is good, but the type A part of me is fuming",anger
291,@Thatguy_dree @RecklessWonder_ neither one of y'all can see me in this madden,anger
292,@summar_rose @turehndebushra @_taaz_mania @fxla_ summar one more insult from you and you're gone Idc if you're my dad,anger
293,@russbully Ended up paying 75p for half a tube of smarties. Don't even get the pleasure of popping the plastic lid off either #outrage,anger
294,@russbully Ended up paying 75p for half a tube of smarties. Don't even get the pleasure of popping the plastic lid off either ,anger
295,"Everything I see of American police training seems calculated to trample human dignity, inflame outrage, and escalate confrontations.",anger
296,"@strangerpeace We'll have a ceremony next time we meet. It'll involve burning something, then possibly booze and/or caffeine.",anger
297,"#GBBO is such a homely pure piece of tv gold. Channel 4 will attempt to tart it up. Mary, Sue and Mel gone. It's over. I'm out. ðŸ‘‹ #fuming",anger
298,"#GBBO is such a homely pure piece of tv gold. Channel 4 will attempt to tart it up. Mary, Sue and Mel gone. It's over. I'm out. ðŸ‘‹ ",anger
299,Constantly fucking boiling and it's not ok,anger
300,@mikeburke91 @AP I guess. It's just heartbreaking the ease with which they can kill an innocent man and get away with it. #indignation,anger
301,@mikeburke91 @AP I guess. It's just heartbreaking the ease with which they can kill an innocent man and get away with it. ,anger
302,"In  fact,  sometimes i don't get furious at people who wrong me, but   i get  furious at  myself  for being  a  fool.",anger
303,All options are on the table - #revenge is coming.,anger
304,Argh a big wasp buzzing between my blinds and my window. Halp! #wasp #evil #buzz ,anger
305,Argh a big wasp buzzing between my blinds and my window. Halp! #wasp #evil #buzz #sting,anger
306,Someone throw a snap dance party for LO. Rest Up big Homie ðŸ™ðŸ¾,anger
307,"If angry, bash out your frustration on the pastry #GBBO",anger
308,So excited to watch @RuPaulsDragRace #allstars \n#RuPaul #revenge,anger
